tstnbzrx	01000100000111100010000000000000
incfrz,rx,imm5	01000111111111100000110000100100
ff1rz,rx	01000111111111100111110001000000
muluarx,ry	01000100000111101000100001000001
pldr(rx,offset)	0001111100011110Offset
cmpnerx,ry	01000100000111100000010010000001
bgenirz,imm5	0001110000111111£®2£©00100
addurz,rx,ry	01000111111111100000000000100001
xsrrz,rx,oimm5	01000111111111100100110100000100
absrz,rx	01000111111111100000001000000000
stex.wrz,(rx,offset)	01011111111111100111Offset
se	01000000000000000101100000100000
rotlirz,rx,imm5	01000111111111100100100100000100
mfcrrz,cr<x,sel>	01000011111C1111001100000001sel
bnezrx,label	0001000000111110Offset
bgenrrz,rx	01000111111111100010101000000000
mulssrx,ry	01000100000111101000110010000001
mvcvrz	01000111111000000111110000100000
bhzrx,label	0001000001011110Offset
mulurx,ry	01000100000111101000100000100001
lsrcrz,rx,oimm5	01000111111111100100110001000100
dectrz,rx,imm5	01000111111111100000110100000100
xtrb1rz,rx	01000111111111100111000001000000
rte	01000000000000000100000000100000
asrrz,rx,ry	01000111111111100100000010000001
ixwrz,rx,ry	01000111111111100000100001000001
xorrz,rx,ry	01000111111111100010010001000001
subirz,rx,oimm16	00100111111111100000000000000101
mvcrz	01000111111000000110000000100000
cpop<cpid,func>	011000User-define
bmaskirz,imm5	01000111111000000010100100000100
movihrz,imm16	00011100001111110000000000000101
movirz,imm16	00011100000111110000000000000101
lslrz,rx,ry	01000111111111100100000000100001
asrcrz,rx,oimm5	01000111111111100100110010000100
norrz,rx,ry	01000111111111100010010010000001
jmplr	01000000000111111000000000100000
ldr.brz,(rx,ry<<#0)	01010011111111100000000100000001
divsrz,rx,ry	01000111111111101000000001000001
bkpt	01000000000000000000000000100000
wait	01000000000000000100110000100000
inctrz,rx,imm5	01000111111111100000110001000100
movtrz,rx	01000111111111100000110001000000
lslirz,rx,imm5	01000111111111100100100000100100
ldr.hsrz,(rx,ry<<#0)	01010011111111100001010100000001
jmpilabel	0001001100000000Offset
cprgrrz,<cpid,func>	0110010000011111User-define
rsubrz,rx,ry	01000111111000010000000010011110
bhszrx,label	0001000010111110Offset
ldr.hrz,(rx,ry<<#0)	01010011111111100000010100000001
ldex.wrz,(rx,offset)	01011011111111100111Offset
cpwgrrx,<cpid,func>	0110010001111110User-define
ldr.bsrz,(rx,ry<<#0)	01010011111111100001000100000001
cmphsrx,ry	01000100000111100000010000100001
lslcrz,rx,oimm5	01000111111111100100110000100100
rfi	01000000000000000100010000100000
xtrb0rz,rx	01000111111111100111000000100000
st.brz,(rx,offset)	01011111111111100000Offset
sextrz,rx,msb,lsb	0100011111111110010110MSBLSB
orrz,rx,ry	01000111111111100010010000100001
clrtrz	01000111111000000010110001000000
mtcrrx,cr<z,sel>	010000C111111111001100100001sel
psrset#imm5	01000000000000000111010000100100
str.brz,(rx,ry<<#0)	01010111111111100000000100000001
st.hrz,(rx,offset)	01011111111111100001Offset
cmphsirx,oimm16	00011110000111100000000000000101
addirz,rx,oimm16	00100011111111100000000000000101
revbrz,rx	01000100000000000110000100000100
insrz,rx,msb,lsb	0100011111111110010111MSBSIZE
bflabel	0001001000000000Offset
ldqr4-r7,(rx)	01010000100111100001110000100011
we	01000000000000000101010000100000
str.hrz,(rx,ry<<#0)	01010111111111100000010100000001
stqr4-r7,(rx)	01010100100111100001110000100011
btstirx,imm5	01000100000111100010100010000100
bsetirz,rx,imm5	01000111111111100010100001000100
cprc<cpid,func>	0110011000000000User-define
zextrz,rx,msb,lsb	0100011111111110010101MSBLSB
sync	01000000000000000000010000100000
stmry-rz,(rx)	01010111111111100001110000100100
mulsarx,ry	01000100000111101000110001000001
brlabel	000000Offset
decgtrz,rx,imm5	01000111111111100001000000100100
stop	01000000000000000100100000100000
andnrz,rx,ry	01000111111111100010000001000001
jmprx	01000000000111101000000000100000
ixhrz,rx,ry	01000111111111100000100000100001
st.wrz,(rx,offset)	01011111111111100010Offset
mulusrx,ry	01000100000111101000100010000001
ld.brz,(rx,offset)	01011011111111100000Offset
