tstnbzrx	01000100000RX001000
incfrz,rx,imm5	010001RZRX00001100001IMM5
ff1rz,rx	010001RZRX0111110001000000
muluarx,ry	01000100000RX10001000010RY
pldr(rx,offset)	00011111000RXOffset
cmpnerx,ry	01000100000RX00000100100RY
bgenirz,imm5	00011100001RZ£¨2£©IMM5
addurz,rx,ry	010001RZRX00000000001RY
xsrrz,rx,oimm5	010001RZRX01001101000IMM5
absrz,rx	010001RZRX0000001000000000
stex.wrz,(rx,offset)	010111RZRX0111Offset
se	01000000000000000101100000100000
rotlirz,rx,imm5	010001RZRX01001001000IMM5
mfcrrz,cr<x,sel>	010000RZCRX01100000001sel
bnezrx,label	00010000001RXOffset
bgenrrz,rx	010001RZRX0010101000000000
mulssrx,ry	01000100000RX10001100100RY
mvcvrz	010001RZ000000111110000100000
bhzrx,label	00010000010RXOffset
mulurx,ry	01000100000RX10001000001RY
lsrcrz,rx,oimm5	010001RZRX01001100010IMM5
dectrz,rx,imm5	010001RZRX00001101000IMM5
xtrb1rz,rx	010001RZRX0111000001000000
rte	01000000000000000100000000100000
asrrz,rx,ry	010001RZRX01000000100RY
ixwrz,rx,ry	010001RZRX00001000010RY
xorrz,rx,ry	010001RZRX00100100010RY
subirz,rx,oimm16	001001RZRXIMM16
mvcrz	010001RZ000000110000000100000
cpop<cpid,func>	011000User-define
bmaskirz,imm5	010001RZ0000000101001000IMM5
movihrz,imm16	00011100001RZIMM16
movirz,imm16	00011100000RZIMM16
lslrz,rx,ry	010001RZRX01000000001RY
asrcrz,rx,oimm5	010001RZRX01001100100IMM5
norrz,rx,ry	010001RZRX00100100100RY
jmplr	01000000000111111000000000100000
ldr.brz,(rx,ry<<#0)	010100RZRX00000001000RY
divsrz,rx,ry	010001RZRX10000000010RY
bkpt	01000000000000000000000000100000
wait	01000000000000000100110000100000
inctrz,rx,imm5	010001RZRX00001100010IMM5
movtrz,rx	010001RZRX0000110001000000
lslirz,rx,imm5	010001RZRX01001000001IMM5
ldr.hsrz,(rx,ry<<#0)	010100RZRX00010101000RY
jmpilabel	0001001100000000Offset
cprgrrz,<cpid,func>	01100100000RZUser-define
rsubrz,rx,ry	010001RZRY00000000100RX
bhszrx,label	00010000101RXOffset
ldr.hrz,(rx,ry<<#0)	010100RZRX00000101000RY
